Mario Is Missing! (USA).zip|Mario Is Missing|马里奥失踪记
Ninja Hattori-kun - Ninja wa Syugyou de Gozaru (Japan).zip|Ninja Hattori-kun - Ninja wa Syugyou de Gozaru (Japan)|忍者哈特君
Ninja Jajamaru - Ginga Daisakusen (Japan) (Beta).zip|Ninja Jajamaru - Ginga Daisakusen (Japan) (Beta)|忍者茶茶丸 银河大作战
Ninja Jajamaru - Ginga Daisakusen (Japan).zip|Ninja Jajamaru - Ginga Daisakusen (Japan)|忍者茶茶丸 银河大作战（日）
Ninja Jajamaru-kun (Japan).zip|Ninja Jajamaru-kun (Japan)|忍者茶茶丸
Ninja Jun A - Shura Chapter.zip|Ninja Jun A - Shura Chapter|忍者君舒拉
Ninja Kid (USA).zip|Ninja Kid (USA)|忍者小子
Ninja-kun - Ashura no Shou (Japan).zip|Ninja-kun - Ashura no Shou (Japan)|忍者 阿修罗之章
Ninja-kun - Majou no Bouken (Japan).zip|Ninja-kun - Majou no Bouken (Japan)|忍者君:魔城的冒险（日）
Ninja-kun - Majou no Bouken (Japan) (Rev 1).zip|Ninja-kun - Majou no Bouken (Japan) (Rev 1)|忍者君:魔城的冒险
Ninjara Hoi! (Japan).zip|Ninjara Hoi! (Japan)|忍者勇士
Ninja Ryuuken Den II - Ankoku no Jashin Ken (Japan).zip|Ninja Ryuuken Den II - Ankoku no Jashin Ken (Japan)|忍者龙剑传2
Ninja Ryuuken Den III - Yomi no Hakobune (Japan).zip|Ninja Ryuuken Den III - Yomi no Hakobune (Japan)|忍者龙剑传3
Ninja Ryuuken Den (Japan).zip|Ninja Ryuuken Den (Japan)|忍者龙剑传
Nishimura Kyoutarou Mystery - Blue Train Satsujin Jiken (Japan).zip|Nishimura Kyoutarou Mystery - Blue Train Satsujin Jiken (Japan)|西村京太郎-杀人事件
Nishimura Kyoutarou Mystery - Super Express Satsujin Jiken (Japan).zip|Nishimura Kyoutarou Mystery - Super Express Satsujin Jiken (Japan)|西村京太郎-杀人事件2
Noah's Ark.zip|Noah's Ark|诺亚方舟
Nobunaga no Yabou - Bushou Fuuun Roku (Japan).zip|Nobunaga no Yabou - Bushou Fuuun Roku (Japan)|信长的野望-武将风云录（日）
Nobunaga no Yabou - Sengoku Gunyuu Den (Japan).zip|Nobunaga no Yabou - Sengoku Gunyuu Den (Japan)|信长野望-战国群雄传
Nobunaga no Yabou - Sengoku Gunyuu Den (Japan) (Rev A).zip|Nobunaga no Yabou - Sengoku Gunyuu Den (Japan) (Rev A)|信长野望-战国群雄传
Nobunaga no Yabou - Zenkoku Ban (Japan).zip|Nobunaga no Yabou - Zenkoku Ban (Japan)|信长野望-全国版（日）
Nobunaga no Yabou - Zenkoku Ban (Japan) (Rev A).zip|Nobunaga no Yabou - Zenkoku Ban (Japan) (Rev A)|信长野望-全国版
Nobunaga's Ambition II (USA).zip|Nobunaga's Ambition II (USA)|信长之野望2
Nobunaga's Ambition (USA).zip|Nobunaga's Ambition (USA)|信长之野望?
North and South (USA).zip|North and South (USA)|南北战争（美）
North & South (Europe).zip|North & South (Europe)|南北战争（欧）
North & South - Wakuwaku Nanboku Sensou (Japan).zip|North & South - Wakuwaku Nanboku Sensou (Japan)|南北战争（日）
Nuts & Milk (Japan).zip|Nuts & Milk (Japan)|牛奶与花生
Obake no Q Tarou - Wanwan Panic (Japan).zip|Obake no Q Tarou - Wanwan Panic (Japan)|Q太郎
Obocchama-kun (Japan).zip|Obocchama-kun (Japan)|少爷历险记?
Off-road locomotive.zip|Off-road locomotive|越野机车
Off-road vehicle.zip|Off-road vehicle|欧霸越野车
Oishinbo - Kyuukyoku no Menu Sanbon Shoubu (Japan).zip|Oishinbo - Kyuukyoku no Menu Sanbon Shoubu (Japan)|美味冒险
Okkotoshi Puzzle - Tonjan! (Japan).zip|Okkotoshi Puzzle - Tonjan! (Japan)|冈石拼图
Olympic I.Q. (Asia) (PAL) (Unl).zip|Olympic I.Q. (Asia) (PAL) (Unl)|奥林匹克
Olympus no Tatakai (Japan).zip|Olympus no Tatakai (Japan)|奥林匹斯之战
One sound concert.zip|One sound concert|有声音乐会
Onyanko Town (Japan).zip|Onyanko Town (Japan)|猫咪小镇
Operation Secret Storm (USA) (Unl).zip|Operation Secret Storm (USA) (Unl)|秘密风暴
Operation Wolf (Japan).zip|Operation Wolf (Japan)|野狼行动（日）
Otaku no Seiza - An Adventure in the Otaku Galaxy (Japan).zip|Otaku no Seiza - An Adventure in the Otaku Galaxy (Japan)|远方的星座
Outlanders (Japan).zip|Outlanders (Japan)|异星人
Outrageous glory.zip|Outrageous glory|无耻的荣耀
Over Horizon (Europe).zip|Over Horizon (Europe)|超越地平线（欧）
Pachicom (Japan).zip|Pachicom (Japan)|弹珠机
Pachinko Daisakusen 2 (Japan).zip|Pachinko Daisakusen 2 (Japan)|柏青哥大作战2
Pachinko Daisakusen (Japan).zip|Pachinko Daisakusen (Japan)|柏青哥大作战
Pachio-kun 2 (Japan).zip|Pachio-kun 2 (Japan)|柏青夫君2
Pachio-kun 3 (Japan).zip|Pachio-kun 3 (Japan)|柏青夫君3（日）
Pachio-kun 3 (Japan) (Rev A).zip|Pachio-kun 3 (Japan) (Rev A)|柏青夫君3
Pachio-kun 4 (Japan).zip|Pachio-kun 4 (Japan)|柏青夫君4
Pachi-Slot Adventure 3 - Bitaoshii 7 Kenzan! (Japan).zip|Pachi-Slot Adventure 3 - Bitaoshii 7 Kenzan! (Japan)|柏青哥冒险3
Pac-Man (Europe).zip|Pac-Man (Europe)|吃豆人（欧）
Pac-Mania (USA) (Unl).zip|Pac-Mania (USA) (Unl)|小精灵
Pac-Man (Japan) (En) (Rev B).zip|Pac-Man (Japan) (En) (Rev B)|吃豆人（日）(Rev B)
Pac-Man (Japan).zip|Pac-Man (Japan)|吃豆人（日）
Pac-Man (Japan) (Rev A).zip|Pac-Man (Japan) (Rev A)|吃豆人（日）(Rev A)
Pac-Man (USA) (Namco).zip|Pac-Man (USA) (Namco)|吃豆人（南梦宫）
Pac-Man (USA) (Tengen) (Unl).zip|Pac-Man (USA) (Tengen) (Unl)|吃豆人（美）(Unl)
Pajama Hero - Nemo (Japan).zip|Pajama Hero - Nemo (Japan)|梦之勇士
Palamedes II - Star Twinkle- Hoshi no Mabataki (Japan).zip|Palamedes II - Star Twinkle- Hoshi no Mabataki (Japan)|方块2（日）
Palamedes (Japan).zip|Palamedes (Japan)|方块（日）
Palamedes (USA).zip|Palamedes (USA)|方块（美）
Panic Restaurant (Europe).zip|Panic Restaurant (Europe)|超级厨师（欧）
Panic Restaurant (USA).zip|Panic Restaurant (USA)|超级厨师（美）
Paperboy 2 (Europe).zip|Paperboy 2 (Europe)|送报童2（欧）
Paperboy 2 (USA).zip|Paperboy 2 (USA)|送报童2（美）
Paperboy (Europe).zip|Paperboy (Europe)|送报童（欧）
Paperboy (Japan).zip|Paperboy (Japan)|送报童（日）
Paperboy (USA).zip|Paperboy (USA)|送报童（美）
Papillon Gals (Japan) (Unl).zip|Papillon Gals (Japan) (Unl)|乳突女
Parallel World (Japan).zip|Parallel World (Japan)|平行世界（日）
parallel world.zip|parallel world|平行世界
Parasol Henbee (Japan).zip|Parasol Henbee (Japan)|阳伞小子
Parasol Stars - Rainbow Islands II (Europe).zip|Parasol Stars - Rainbow Islands II (Europe)|彩虹岛2
Parasol Stars - The Story of Bubble Bobble III (Europe) (Beta).zip|Parasol Stars - The Story of Bubble Bobble III (Europe) (Beta)|彩虹岛3
Paris-Dakar Rally Special (Japan).zip|Paris-Dakar Rally Special (Japan)|巴黎达喀尔拉力赛
Parodius Da! (Japan).zip|Parodius Da! (Japan)|疯狂大射击（日）
Parodius (Europe) (Beta).zip|Parodius (Europe) (Beta)|疯狂大射击
Parodius (Europe).zip|Parodius (Europe)|疯狂大射击（欧）
Parody World - Monster Party (Japan) (Proto).zip|Parody World - Monster Party (Japan) (Proto)|怪物聚会
Party championship.zip|Party championship|吃豆人:冠军版
Peacock King 2.zip|Peacock King 2|孔雀王2
Peacock king.zip|Peacock king|孔雀王
Peanuts and milk.zip|Peanuts and milk|花生和牛奶
Peek-A-Boo Poker (Asia) (Unl).zip|Peek-A-Boo Poker (Asia) (Unl)|海盗式打法
Peepar Time (Japan).zip|Peepar Time (Japan)|机器人引导赛
Pegasus 4 in 1 (Unknown) (Unl).zip|Pegasus 4 in 1 (Unknown) (Unl)|游戏4合1
Pegasus 5 in 1 (Unknown) (Unl).zip|Pegasus 5 in 1 (Unknown) (Unl)|游戏5合1
Penguin and seal.zip|Penguin and seal|企鹅与海豹
Penguin-kun Wars (Japan).zip|Penguin-kun Wars (Japan)|投球大赛
Penguin & Seal- The (Asia- Australia) (Unl).zip|Penguin & Seal- The (Asia- Australia) (Unl)|企鹅与海豹（亚）
Penguin war.zip|Penguin war|企鹅战争
Pennant League!! - Home Run Nighter (Japan).zip|Pennant League!! - Home Run Nighter (Japan)|全垒打之夜
Pennant League- The - Home Run Nighter '90 (Japan).zip|Pennant League- The - Home Run Nighter '90 (Japan)|全垒打王 '90
Perfect Bowling (Japan).zip|Perfect Bowling (Japan)|完美保龄球
Perman Part 2 - Himitsu Kessha Madoodan o Taose! (Japan).zip|Perman Part 2 - Himitsu Kessha Madoodan o Taose! (Japan)|小超人2
Pescatore (Japan) (Proto).zip|Pescatore (Japan) (Proto)|佩斯卡托雷
Pesterminator (USA) (Unl).zip|Pesterminator (USA) (Unl)|偷看扑克
Peter Pan and Pirates.zip|Peter Pan and Pirates|彼得.潘与海盗
Phantom Air Mission (Europe).zip|Phantom Air Mission (Europe)|捍卫入侵者
Philippine cat.zip|Philippine cat|菲律宾猫
Phoenix fighter.zip|Phoenix fighter|凤凰斗士
Pictionary - The Game of Video Quick Draw (USA).zip|Pictionary - The Game of Video Quick Draw (USA)|画图猜词
Pig younger brother.zip|Pig younger brother|猪弟弟
Pinball (Europe) (Rev A).zip|Pinball (Europe) (Rev A)|弹珠台（欧）
Pinball Quest (Japan).zip|Pinball Quest (Japan)|弹珠台高手（日）
Pinball Quest (USA).zip|Pinball Quest (USA)|弹珠台高手（美）
Pinball table [Chinese version].zip|Pinball table [Chinese version]|弹珠台（汉）
Pinball (USA) (GameCube Edition).zip|Pinball (USA) (GameCube Edition)|弹珠台（美）
Pinball (World).zip|Pinball (World)|弹珠台（国际）
Pin Bot (Europe).zip|Pin Bot (Europe)|星际弹珠台（欧）
Pin Bot (USA).zip|Pin Bot (USA)|星际弹珠台（美）
Pipeline battle.zip|Pipeline battle|管道战
Pipemania (Australia) (HES) (Unl).zip|Pipemania (Australia) (HES) (Unl)|疯狂水管
Pirates! (Europe).zip|Pirates! (Europe)|海盗！（欧）
Pirates! (Germany).zip|Pirates! (Germany)|海盗！（德）
Pirates! (USA).zip|Pirates! (USA)|海盗！（美）
Plan B.zip|Plan B|B计划
Plants vs. Zombies.zip|Plants vs. Zombies|植物大战僵尸
Plasma Ball (Japan).zip|Plasma Ball (Japan)|等离子体球（日）
Plasma ball.zip|Plasma ball|等离子体球
Platoon (USA).zip|Platoon (USA)|野战排（美0
Platoon (USA) (Rev A).zip|Platoon (USA) (Rev A)|野战排
Playboy and attitude.zip|Playboy and attitude|花花公子
Pocket Zaurus - Juu Ouken no Nazo (Japan).zip|Pocket Zaurus - Juu Ouken no Nazo (Japan)|王者剑之谜
Poke Block (Asia) (Unl).zip|Poke Block (Asia) (Unl)|推箱子
Poker Mahjong - Pu Ke Mao Que (Asia) (Unl).zip|Poker Mahjong - Pu Ke Mao Que (Asia) (Unl)|扑克麻雀
Policeman (Spain) (Gluk Video) (Unl).zip|Policeman (Spain) (Gluk Video) (Unl)|警察（西）
Polk adventure.zip|Polk adventure|波克历险记
Pooyan (Japan).zip|Pooyan (Japan)|猪小弟
Popeye [Chinese version].zip|Popeye [Chinese version]|大力水手（汉）
Popeye (Japan).zip|Popeye (Japan)|大力水手（日）
Popeye no Eigo Asobi (Japan).zip|Popeye no Eigo Asobi (Japan)|大力水手学英语
Popeye (World) (Rev A).zip|Popeye (World) (Rev A)|大力水手
Power Blade (USA).zip|Power Blade (USA)|力量刀锋（美）
Power Blazer (Japan).zip|Power Blazer (Japan)|力量小子（日）
Power Punch II (USA).zip|Power Punch II (USA)|力量拳击2
P.O.W. - Prisoners of War (Europe).zip|P.O.W. - Prisoners of War (Europe)|脱狱- 战俘（欧）
P.O.W. - Prisoners of War (USA).zip|P.O.W. - Prisoners of War (USA)|脱狱- 战俘（美）
P'Radikus Conflict (USA) (Unl).zip|P'Radikus Conflict (USA) (Unl)|美食家选举
Predator (Japan).zip|Predator (Japan)|掠夺者（日）
Predator.zip|Predator|掠夺者
Predator (USA).zip|Predator (USA)|掠夺者（美）
President no Sentaku (Japan).zip|President no Sentaku (Japan)|永远的铁血战士
Prince of Persia (Europe).zip|Prince of Persia (Europe)|波斯王子（欧）
Prince of Persia (France).zip|Prince of Persia (France)|波斯王子（法）
Prince of Persia (USA).zip|Prince of Persia (USA)|波斯王子（美）
Princess Tomato in Salad Kingdom (USA) (Beta).zip|Princess Tomato in Salad Kingdom (USA) (Beta)|公主番茄沙拉王国
Prison Break 2 (invincible).zip|Prison Break 2 (invincible)|越狱2
Probotector (Europe).zip|Probotector (Europe)|超级魂斗罗
Probotector II - Return of the Evil Forces (Europe).zip|Probotector II - Return of the Evil Forces (Europe)|超级魂斗罗2
Professional wrestling.zip|Professional wrestling|职业摔角
Project Q (Japan).zip|Project Q (Japan)|Q计划
Pro Sport Hockey (USA).zip|Pro Sport Hockey (USA)|冰上曲棍球（美）
Pro Yakyuu - Family Stadium '87 (Japan).zip|Pro Yakyuu - Family Stadium '87 (Japan)|明星职业棒球87
Pro Yakyuu - Family Stadium '88 (Japan).zip|Pro Yakyuu - Family Stadium '88 (Japan)|明星职业棒球88
Pro Yakyuu - Family Stadium (Japan).zip|Pro Yakyuu - Family Stadium (Japan)|明星职业棒球
Pro Yakyuu Satsujin Jiken! (Japan).zip|Pro Yakyuu Satsujin Jiken! (Japan)|职业棒球杀人事件
puck.zip|puck|冰球
Pu Ke Jing Ling (China) (Unl).zip|Pu Ke Jing Ling (China) (Unl)|扑克精灵
Punch-Out!! (Europe).zip|Punch-Out!! (Europe)|拳无虚发（欧）
Punch-Out!! (Japan) (Gold Edition).zip|Punch-Out!! (Japan) (Gold Edition)|拳无虚发（日）
Punch-Out!! (USA).zip|Punch-Out!! (USA)|拳无虚发（美）
Punisher.zip|Punisher|惩罚者
Punisher- The (USA).zip|Punisher- The (USA)|惩罚者（美）
Push square.zip|Push square|推方块
Puss n Boots - Pero's Great Adventure (USA).zip|Puss n Boots - Pero's Great Adventure (USA)|穿长靴的猫
Puyo Puyo (Japan).zip|Puyo Puyo (Japan)|魔法气泡
Puzslot (Japan).zip|Puzslot (Japan)|方方
Puzzle box.zip|Puzzle box|益智游戏集
Puzzle (USA) (Beta) (Unl).zip|Puzzle (USA) (Beta) (Unl)|智力游戏
Puzzle (USA) (Unl).zip|Puzzle (USA) (Unl)|智力游戏（美）
Puzznic (Europe).zip|Puzznic (Europe)|连锁方块（欧）
Puzznic (USA).zip|Puzznic (USA)|连锁方块（美）
Pyokotan no Daimeiro (Japan).zip|Pyokotan no Daimeiro (Japan)|小兔大迷路
Pyramid - Cleopatra Kikiippatsu (Japan) (Hacker inc.) (Unl).zip|Pyramid - Cleopatra Kikiippatsu (Japan) (Hacker inc.) (Unl)|金字塔-埃及艳后
Pyramid (USA) (Rev 1) (Unl).zip|Pyramid (USA) (Rev 1) (Unl)|金字塔
Pyramid (USA) (Unl).zip|Pyramid (USA) (Unl)|金字塔（美）
Qibao Qimou 2.zip|Qibao Qimou 2|七宝奇谋2
Qibao Qimou [Chinese version].zip|Qibao Qimou [Chinese version]|七宝奇谋
Qi Tian Lie Encyclopedia.zip|Qi Tian Lie Encyclopedia|齐天列百科全书
QIX (USA).zip|QIX (USA)|离子射线?
Quarter Back Scramble (Japan).zip|Quarter Back Scramble (Japan)|四分卫争夺战
Quarth (Japan).zip|Quarth (Japan)|射击消除方块
Quattro Adventure (USA) (Unl).zip|Quattro Adventure (USA) (Unl)|动作4合1
Quattro Arcade (USA) (Unl).zip|Quattro Arcade (USA) (Unl)|4合1
Quattro Sports (USA) (Unl).zip|Quattro Sports (USA) (Unl)|夸特罗拉力赛
Quick Jie Duel 3.zip|Quick Jie Duel 3|速捷决斗3
Quick Jie Yang Gun Pill 2.zip|Quick Jie Yang Gun Pill 2|快枪手2
Q version volleyball.zip|Q version volleyball|Q版排球
Race America (USA).zip|Race America (USA)|美国赛车
Racer Mini Yonku - Japan Cup (Japan).zip|Racer Mini Yonku - Japan Cup (Japan)|迷你四驱车日本杯赛
Racket Attack (Europe).zip|Racket Attack (Europe)|网球之星（欧）
Racket Attack (USA).zip|Racket Attack (USA)|网球之星（美）
Rackets & Rivals (Europe).zip|Rackets & Rivals (Europe)|球拍与对手
Radac Tailor-Made (Japan).zip|Radac Tailor-Made (Japan)|组装自行车
Radia Senki - Reimei Hen (Japan).zip|Radia Senki - Reimei Hen (Japan)|拉迪亚战记
Rad Racer (Europe).zip|Rad Racer (Europe)|公路之星（欧）
Rad Racer II (USA).zip|Rad Racer II (USA)|公路之星2
Rad Racer (USA).zip|Rad Racer (USA)|公路之星
Rad Racket - Deluxe Tennis II (USA) (Unl).zip|Rad Racket - Deluxe Tennis II (USA) (Unl)|豪华网球2
Raf World (Japan).zip|Raf World (Japan)|Raf世界
Raid 2020 (USA) (Unl).zip|Raid 2020 (USA) (Unl)|突击2020
Raid on Bungeling Bay (Japan) (En) (Rev A).zip|Raid on Bungeling Bay (Japan) (En) (Rev A)|救难直升机
Raid on Bungeling Bay (Japan).zip|Raid on Bungeling Bay (Japan)|救难直升机（日）
Raid on Bungeling Bay (USA).zip|Raid on Bungeling Bay (USA)|救难直升机（美）
Railway king.zip|Railway king|铁道王
Rainbow Island.zip|Rainbow Island|彩虹岛
Rainbow Islands - Bubble Bobble 2 (Europe).zip|Rainbow Islands - Bubble Bobble 2 (Europe)|彩虹岛2（欧）
Rainbow Islands - The Story of Bubble Bobble 2 (Japan).zip|Rainbow Islands - The Story of Bubble Bobble 2 (Japan)|彩虹岛2（日）
Rainbow Islands - The Story of Bubble Bobble 2 (Japan) (Sample).zip|Rainbow Islands - The Story of Bubble Bobble 2 (Japan) (Sample)|彩虹岛2
Rainbow Islands (USA).zip|Rainbow Islands (USA)|彩虹岛（美）
Rally Bike (USA).zip|Rally Bike (USA)|拉力摩托车
Rambo (Japan).zip|Rambo (Japan)|第一滴血（日）
Rambo (USA).zip|Rambo (USA)|第一滴血（美）
Rambo (USA) (Rev A).zip|Rambo (USA) (Rev A)|第一滴血
Rampage (USA).zip|Rampage (USA)|狂暴巨兽（美）
Rampart (Europe).zip|Rampart (Europe)|领土之战（欧）
Rampart (Japan).zip|Rampart (Japan)|领土之战（日）
Rampart (USA).zip|Rampart (USA)|领土之战（美）
R.B.I. Baseball 2 (USA) (Unl).zip|R.B.I. Baseball 2 (USA) (Unl)|R.B.I.棒球2（美）
R.B.I. Baseball 3 (USA) (Unl).zip|R.B.I. Baseball 3 (USA) (Unl)|R.B.I.棒球3（美）
R.B.I. Baseball (USA) (Unl).zip|R.B.I. Baseball (USA) (Unl)|R.B.I.棒球
R.C. Pro-Am (Europe).zip|R.C. Pro-Am (Europe)|RC遥控赛车（欧）
R.C. Pro-Am (Europe) (Rev A).zip|R.C. Pro-Am (Europe) (Rev A)|RC遥控赛车（欧）(Rev A)
R.C. Pro-Am II (Europe).zip|R.C. Pro-Am II (Europe)|RC遥控赛车2（欧）
R.C. Pro-Am II (USA).zip|R.C. Pro-Am II (USA)|RC遥控赛车2（美）
R.C. Pro-Am (USA).zip|R.C. Pro-Am (USA)|RC遥控赛车（美）
R.C. Pro-Am (USA) (Rev A).zip|R.C. Pro-Am (USA) (Rev A)|RC遥控赛车
Red Arremer II (Japan).zip|Red Arremer II (Japan)|红魔II（日）
Red Devil Adventure 2.zip|Red Devil Adventure 2|红魔奇遇2
Red Pig Fighter - Unlimited Edition.zip|Red Pig Fighter - Unlimited Edition|红猪-无限版
Red pig.zip|Red pig|红猪
Red Shadow Warrior.zip|Red Shadow Warrior|赤影战士
Red towel special forces.zip|Red towel special forces|红毛巾特种部队
Reigen Doushi (Japan).zip|Reigen Doushi (Japan)|灵幻道士
Remote Control (USA).zip|Remote Control (USA)|远程控制
Renegade (USA).zip|Renegade (USA)|热血硬派
Rescue - The Embassy Mission (Europe).zip|Rescue - The Embassy Mission (Europe)|救援:大使馆行动（欧）
Rescue - The Embassy Mission (USA) (Beta).zip|Rescue - The Embassy Mission (USA) (Beta)|救援:大使馆行动
Rescue - The Embassy Mission (USA).zip|Rescue - The Embassy Mission (USA)|救援:大使馆行动（美）
Resurrection maze.zip|Resurrection maze|魔界村
Return to the future.zip|Return to the future|回到未来
Rhapsody.zip|Rhapsody|狂想曲
Ring King (USA).zip|Ring King (USA)|指环王
River City Ransom (USA).zip|River City Ransom (USA)|热血物语
River fishing.zip|River fishing|捕鱼能手
RoadBlasters (Europe).zip|RoadBlasters (Europe)|爆裂赛车（欧）
RoadBlasters (USA).zip|RoadBlasters (USA)|爆裂赛车（美）
Road chase.zip|Road chase|公路赛车
Road Fighter (Europe).zip|Road Fighter (Europe)|马路英雄（欧）
Road Fighter (Japan).zip|Road Fighter (Japan)|马路英雄（日）
Road.zip|Road|公路
Road pursuit 16.zip|Road pursuit 16|公路追击16
Road racing.zip|Road racing|真实竞速赛车
Road Runner (USA) (Unl).zip|Road Runner (USA) (Unl)|通道奔跑者
Robert Magical Adventure.zip|Robert Magical Adventure|魔法汽车冒险
Robin Hood - Prince of Thieves (Europe).zip|Robin Hood - Prince of Thieves (Europe)|侠盗王子罗宾汉（欧）
Robin Hood - Prince of Thieves (Germany).zip|Robin Hood - Prince of Thieves (Germany)|侠盗王子罗宾汉（德）
Robin Hood - Prince of Thieves (Spain).zip|Robin Hood - Prince of Thieves (Spain)|侠盗王子罗宾汉（西）
Robin Hood - Prince of Thieves (USA).zip|Robin Hood - Prince of Thieves (USA)|侠盗王子罗宾汉（美）
Robin Hood - Prince of Thieves (USA) (Rev A).zip|Robin Hood - Prince of Thieves (USA) (Rev A)|侠盗王子罗宾汉
Robocco Wars (Japan).zip|Robocco Wars (Japan)|机器人大战
RoboCop 2 (Europe).zip|RoboCop 2 (Europe)|机械战警2（欧）
RoboCop 2 (Japan).zip|RoboCop 2 (Japan)|机械战警2（日）
RoboCop 2 (USA).zip|RoboCop 2 (USA)|机械战警2（美）
RoboCop 2 (USA) (Rev A).zip|RoboCop 2 (USA) (Rev A)|机械战警2
RoboCop 3 (Europe).zip|RoboCop 3 (Europe)|机械战警3（欧）
RoboCop 3 (USA).zip|RoboCop 3 (USA)|机械战警3
RoboCop (Europe).zip|RoboCop (Europe)|机械战警（欧）
RoboCop (Japan).zip|RoboCop (Japan)|机械战警（日）
RoboCop (USA) (Beta).zip|RoboCop (USA) (Beta)|机械战警
RoboCop (USA).zip|RoboCop (USA)|机械战警（美）
RoboCop versus The Terminator (USA) (Proto).zip|RoboCop versus The Terminator (USA) (Proto)|机械战警对终结者
Robodemons (USA) (Unl).zip|Robodemons (USA) (Unl)|机器人恶魔
Robot cat.zip|Robot cat|机器猫
Robot demon.zip|Robot demon|机器人恶魔
Robo Warrior (Europe).zip|Robo Warrior (Europe)|炸弹之王（欧）
Robo Warrior (USA).zip|Robo Warrior (USA)|炸弹之王（美）
Rocketeer- The (USA).zip|Rocketeer- The (USA)|火箭手
